,file_name,cluster,n_origin_chr,origin_chr,n_path_karsim,n_path_omkar,total_alignment_cost,alignment_costs,event_chr,histories,n_events,is_event_cluster,n_path_diff
22,23X_15q26_overgrowth_r1,9,1,['Chr10'],2,2,4310,"[2155, 2155]","['Chr1', 'Chr2', 'Chr3', 'Chr5', 'Chr6', 'Chr8', 'Chr11', 'Chr13', 'Chr15']",{},0,False,0
23,23X_1q21_recurrent_microduplication_r1,0,1,['Chr1'],2,2,151442,"[132565, 18877]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{'tandem duplication': 1},1,True,0
24,23X_1q21_recurrent_microduplication_r1,1,1,['Chr2'],2,2,154045,"[103281, 50764]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']","{'deletion': 1, 'tandem duplication': 1}",2,True,0
25,23X_1q21_recurrent_microduplication_r1,10,1,['Chr12'],2,2,2696,"[1348, 1348]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{},0,False,0
26,23X_1q21_recurrent_microduplication_r1,11,1,['Chr13'],2,2,4450,"[2225, 2225]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{},0,False,0
27,23X_1q21_recurrent_microduplication_r1,12,1,['Chr14'],2,2,20870,"[10435, 10435]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{},0,False,0
28,23X_1q21_recurrent_microduplication_r1,13,1,['Chr15'],2,2,9358,"[4679, 4679]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{},0,False,0
29,23X_1q21_recurrent_microduplication_r1,14,1,['Chr16'],2,2,133834,"[97577, 36257]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{'right duplication inversion': 1},1,True,0
30,23X_1q21_recurrent_microduplication_r1,15,1,['Chr17'],2,2,2096,"[1048, 1048]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{},0,False,0
31,23X_1q21_recurrent_microduplication_r1,16,1,['Chr18'],2,2,242034,"[190727, 51307]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']","{'tandem duplication': 1, 'inversion': 1}",2,True,0
32,23X_1q21_recurrent_microduplication_r1,17,1,['Chr19'],2,2,3800,"[1900, 1900]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{},0,False,0
33,23X_1q21_recurrent_microduplication_r1,18,1,['Chr20'],2,2,896,"[448, 448]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{},0,False,0
34,23X_1q21_recurrent_microduplication_r1,19,1,['Chr21'],2,2,1161787,"[659491, 502296]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{'right duplication inversion': 1},1,True,0
35,23X_1q21_recurrent_microduplication_r1,2,1,['Chr4'],2,2,6758,"[4768, 1990]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{'inversion': 1},1,True,0
36,23X_1q21_recurrent_microduplication_r1,20,1,['Chr22'],2,2,5760,"[2880, 2880]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{},0,False,0
37,23X_1q21_recurrent_microduplication_r1,21,1,['ChrX'],2,2,224779,"[194715, 30064]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{'tandem duplication': 1},1,True,0
38,23X_1q21_recurrent_microduplication_r1,3,1,['Chr5'],2,2,11088,"[5544, 5544]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{},0,False,0
39,23X_1q21_recurrent_microduplication_r1,4,2,"['Chr3', 'Chr6']",4,4,1646314,"[230840, 92540, 1316853, 6081]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']","{'right duplication inversion': 1, 'left duplication inversion': 1, 'nonreciprocal translocation': 1, 'tandem duplication': 1}",4,True,0
40,23X_1q21_recurrent_microduplication_r1,5,1,['Chr7'],2,2,1976,"[988, 988]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{},0,False,0
41,23X_1q21_recurrent_microduplication_r1,6,1,['Chr8'],2,2,808741,"[783720, 25021]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']","{'deletion': 1, 'tandem duplication': 1}",2,True,0
42,23X_1q21_recurrent_microduplication_r1,7,1,['Chr9'],2,2,504,"[252, 252]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{},0,False,0
43,23X_1q21_recurrent_microduplication_r1,8,1,['Chr10'],2,2,4310,"[2155, 2155]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{},0,False,0
44,23X_1q21_recurrent_microduplication_r1,9,1,['Chr11'],2,2,38438,"[31382, 7056]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr6', 'Chr8', 'Chr11', 'Chr16', 'Chr18', 'Chr21', 'ChrX']",{'inversion': 1},1,True,0
45,23X_1q21_recurrent_microduplication_r2,0,1,['Chr3'],2,1,1083545,"[1049631, 33914]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']","{'deletion': 1, 'left duplication inversion': 1}",2,True,-1
46,23X_1q21_recurrent_microduplication_r2,1,1,['Chr4'],2,1,383186730,"[192992175, 190194555]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{'right duplication inversion': 2},2,True,-1
47,23X_1q21_recurrent_microduplication_r2,10,1,['Chr15'],2,2,9358,"[4679, 4679]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{},0,False,0
48,23X_1q21_recurrent_microduplication_r2,11,2,"['Chr5', 'Chr16']",4,4,63894339,"[63888795, 5544]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']","{'inversion': 1, 'balanced reciprocal translocation': 2}",3,True,0
49,23X_1q21_recurrent_microduplication_r2,12,1,['Chr17'],2,2,63929675,"[34374, 63895301]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{},0,False,0
50,23X_1q21_recurrent_microduplication_r2,13,1,['Chr18'],2,2,2096,"[1048, 1048]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{},0,False,0
51,23X_1q21_recurrent_microduplication_r2,14,1,['Chr19'],2,2,13820,"[6910, 6910]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{},0,False,0
52,23X_1q21_recurrent_microduplication_r2,15,1,['Chr20'],2,2,3800,"[1900, 1900]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{},0,False,0
53,23X_1q21_recurrent_microduplication_r2,16,1,['Chr21'],2,2,896,"[448, 448]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{},0,False,0
54,23X_1q21_recurrent_microduplication_r2,17,1,['Chr22'],2,2,5504,"[2752, 2752]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{},0,False,0
55,23X_1q21_recurrent_microduplication_r2,18,1,['ChrX'],2,2,5760,"[2880, 2880]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{},0,False,0
56,23X_1q21_recurrent_microduplication_r2,2,1,['Chr6'],2,2,18936,"[12855, 6081]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{'inversion': 1},1,True,0
57,23X_1q21_recurrent_microduplication_r2,3,1,['Chr8'],2,2,5020,"[2510, 2510]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{},0,False,0
58,23X_1q21_recurrent_microduplication_r2,4,1,['Chr9'],2,2,4632,"[4380, 252]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{'inversion': 1},1,True,0
59,23X_1q21_recurrent_microduplication_r2,5,1,['Chr10'],2,2,4310,"[2155, 2155]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{},0,False,0
60,23X_1q21_recurrent_microduplication_r2,6,1,['Chr11'],2,2,14112,"[7056, 7056]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{},0,False,0
61,23X_1q21_recurrent_microduplication_r2,7,1,['Chr12'],2,2,195062,"[168224, 26838]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{'left duplication inversion': 1},1,True,0
62,23X_1q21_recurrent_microduplication_r2,8,4,"['Chr1', 'Chr2', 'Chr7', 'Chr13']",8,8,523942369,"[149159022, 16052, 725417, 149753204, 2802073, 23890279, 197578260, 18062]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']","{'tandem duplication': 3, 'inversion': 1, 'balanced reciprocal translocation': 6}",10,True,0
63,23X_1q21_recurrent_microduplication_r2,9,1,['Chr14'],2,2,20870,"[10435, 10435]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr9', 'Chr12', 'Chr13', 'Chr16']",{},0,False,0
64,23X_22q11-2_distal_deletion_r1,0,1,['Chr1'],2,2,176114,"[156576, 19538]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{'left duplication inversion': 1},1,True,0
65,23X_22q11-2_distal_deletion_r1,1,1,['Chr2'],2,2,16426,"[14255, 2171]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{'balanced reciprocal translocation': 2},2,True,0
66,23X_22q11-2_distal_deletion_r1,10,1,['Chr11'],2,2,18195164,"[9153157, 9042007]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{'left duplication inversion': 1},1,True,0
67,23X_22q11-2_distal_deletion_r1,11,1,['Chr12'],2,2,123124,"[76754, 46370]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{'deletion': 1},1,True,0
68,23X_22q11-2_distal_deletion_r1,12,1,['Chr13'],2,2,4450,"[2225, 2225]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
69,23X_22q11-2_distal_deletion_r1,13,1,['Chr14'],2,2,20870,"[10435, 10435]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
70,23X_22q11-2_distal_deletion_r1,14,1,['Chr15'],2,2,9358,"[4679, 4679]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
71,23X_22q11-2_distal_deletion_r1,15,1,['Chr16'],2,2,7186,"[3593, 3593]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
72,23X_22q11-2_distal_deletion_r1,16,1,['Chr17'],2,2,2096,"[1048, 1048]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
73,23X_22q11-2_distal_deletion_r1,17,1,['Chr18'],2,2,25331248,"[12860550, 12470698]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']","{'left duplication inversion': 1, 'tandem duplication': 1}",2,True,0
74,23X_22q11-2_distal_deletion_r1,18,1,['Chr19'],2,2,3800,"[1900, 1900]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
75,23X_22q11-2_distal_deletion_r1,19,1,['Chr20'],2,2,896,"[448, 448]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
76,23X_22q11-2_distal_deletion_r1,2,1,['Chr3'],2,2,9924,"[4962, 4962]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
77,23X_22q11-2_distal_deletion_r1,20,1,['Chr21'],2,2,5504,"[2752, 2752]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
78,23X_22q11-2_distal_deletion_r1,21,1,['Chr22'],2,2,239814,"[220463, 19351]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{'deletion': 1},1,True,0
79,23X_22q11-2_distal_deletion_r1,22,1,['ChrX'],2,2,10564,"[5282, 5282]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
80,23X_22q11-2_distal_deletion_r1,3,1,['Chr4'],2,2,3980,"[1990, 1990]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
81,23X_22q11-2_distal_deletion_r1,4,1,['Chr5'],2,2,11088,"[5544, 5544]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
82,23X_22q11-2_distal_deletion_r1,5,1,['Chr6'],3,3,343830334,"[2458376, 869085, 340502873]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']","{'chromosomal duplication': 1, 'inversion': 1}",2,True,0
83,23X_22q11-2_distal_deletion_r1,6,1,['Chr7'],2,2,1976,"[988, 988]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
84,23X_22q11-2_distal_deletion_r1,7,1,['Chr8'],2,2,314174,"[300218, 13956]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{'deletion': 1},1,True,0
85,23X_22q11-2_distal_deletion_r1,8,1,['Chr9'],2,2,3620570,"[3620318, 252]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{'balanced reciprocal translocation': 2},2,True,0
86,23X_22q11-2_distal_deletion_r1,9,1,['Chr10'],2,2,4310,"[2155, 2155]","['Chr1', 'Chr2', 'Chr6', 'Chr8', 'Chr9', 'Chr11', 'Chr12', 'Chr18', 'Chr22']",{},0,False,0
87,23X_22q11-2_distal_deletion_r2,0,1,['Chr2'],2,2,74345,"[38907, 35438]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{'deletion': 1},1,True,0
88,23X_22q11-2_distal_deletion_r2,1,1,['Chr3'],2,2,398142855,"[2130374, 396012481]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{'arm deletion': 1},1,True,0
89,23X_22q11-2_distal_deletion_r2,10,1,['Chr13'],2,2,4450,"[2225, 2225]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{},0,False,0
90,23X_22q11-2_distal_deletion_r2,11,1,['Chr14'],2,2,20870,"[10435, 10435]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{},0,False,0
91,23X_22q11-2_distal_deletion_r2,12,1,['Chr15'],2,2,9358,"[4679, 4679]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{},0,False,0
92,23X_22q11-2_distal_deletion_r2,13,1,['Chr16'],2,2,7186,"[3593, 3593]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{},0,False,0
93,23X_22q11-2_distal_deletion_r2,14,1,['Chr17'],3,3,174850187,"[3427303, 8475305, 162947579]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{'chromosomal duplication': 1},1,True,0
94,23X_22q11-2_distal_deletion_r2,15,1,['Chr18'],2,2,13820,"[6910, 6910]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{},0,False,0
95,23X_22q11-2_distal_deletion_r2,16,1,['Chr19'],2,2,3800,"[1900, 1900]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{},0,False,0
96,23X_22q11-2_distal_deletion_r2,17,1,['Chr20'],2,2,896,"[448, 448]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{},0,False,0
97,23X_22q11-2_distal_deletion_r2,18,2,"['Chr1', 'Chr21']",4,4,28228,"[18996, 3088, 3392, 2752]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{'nonreciprocal translocation': 1},1,True,0
98,23X_22q11-2_distal_deletion_r2,19,1,['Chr22'],2,2,159926,"[133006, 26920]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{'deletion': 1},1,True,0
99,23X_22q11-2_distal_deletion_r2,2,1,['Chr4'],2,2,5168471,"[2712024, 2456447]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{'left duplication inversion': 1},1,True,0
100,23X_22q11-2_distal_deletion_r2,20,1,['ChrX'],2,2,10564,"[5282, 5282]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{},0,False,0
101,23X_22q11-2_distal_deletion_r2,3,1,['Chr6'],2,2,12162,"[6081, 6081]","['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr7', 'Chr10', 'Chr11', 'Chr17', 'Chr21', 'Chr22']",{},0,False,0
